Case_ID,Timestamp,Event,Flammability_Score
46507,2025-11-08 08:11:49.854189918,Ignition,0.66
44778,2025-11-08 08:11:50.734552314,Fire_Arrival,0.31
44571,2025-11-08 08:11:51.793835052,Ignition,0.54
46556,2025-11-08 08:11:52.306575210,Fire_Arrival,0.34
45226,2025-11-08 08:11:52.565115300,Fire_Arrival,0.34
54508,2025-11-08 08:11:59.871296970,Ignition,0.5
44113,2025-11-08 08:11:59.881082412,Fire_Arrival,0.46
45348,2025-11-08 08:12:02.521005582,Fire_Arrival,0.46
46558,2025-11-08 08:12:06.527204682,Fire_Arrival,0.34
46545,2025-11-08 08:12:08.095063559,Fire_Arrival,0.34
46559,2025-11-08 08:12:09.993782508,Fire_Arrival,0.46
28754,2025-11-08 08:12:10.597000368,Fire_Arrival,0.66
44061,2025-11-08 08:12:18.616692816,Fire_Arrival,0.46
45347,2025-11-08 08:12:20.416832556,Fire_Arrival,0.46
53115,2025-11-08 08:12:21.929340978,Ignition,0.5
44779,2025-11-08 08:12:23.539379376,Fire_Arrival,0.46
45276,2025-11-08 08:12:26.219704008,Fire_Arrival,0.46
43956,2025-11-08 08:12:26.846744172,Fire_Arrival,0.21
45218,2025-11-08 08:12:28.193002464,Fire_Arrival,0.49
46377,2025-11-08 08:12:32.170395300,Ignition,0.46
44699,2025-11-08 08:12:36.069272712,Fire_Arrival,0.34
43475,2025-11-08 08:12:37.836662340,Fire_Arrival,0.46
28755,2025-11-08 08:12:41.021737308,Fire_Arrival,0.49
44698,2025-11-08 08:12:43.099156842,Fire_Arrival,0.36
45273,2025-11-08 08:12:43.662789972,Fire_Arrival,0.36
45227,2025-11-08 08:12:47.168635398,Fire_Arrival,0.34
28798,2025-11-08 08:12:50.813116296,Fire_Arrival,0.19
44784,2025-11-08 08:12:51.360483642,Fire_Arrival,0.46
44780,2025-11-08 08:12:51.391136562,Fire_Arrival,0.46
46560,2025-11-08 08:12:54.519935688,Fire_Arrival,0.46
